PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag
10616,207,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,19,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,780,0,0,0,Single,UNDER GRADUATE,55,M,20000,245,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,695,P2
10617,48,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,94,11,30,2,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,POST-GRADUATE,41,M,30000,186,0.154,0,0.999,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,727,P1
10618,24,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,54,14,32,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,80,2,1,1,Married,SSC,46,M,27500,87,0.385,0.75,0.703,-99999,0,-99999,0,0,0,0,0,26.036,1,0,others,others,729,P1
10619,-99999,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,446,0,0,0,Single,UNDER GRADUATE,22,M,21000,28,1,0,0.849,-99999,0,-99999,0,0,0,0,0,-99999,0,0,AL,AL,680,P2
10620,86,27,6,14,322,16,0,3,3,0,72,12,10,2,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,4,1,1,1,Married,SSC,29,M,15000,126,0.25,0,0.527,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,655,P4
10621,134,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,47,4,10,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,12TH,31,M,19000,65,0.889,0,0.756,-99999,0,-99999,0,0,0,0,0,8.684,0,0,others,others,696,P2
10622,153,34,2,23,89,41,5,9,4,43,89,15,3,0,0,0,0,0,0,0,0,0,0,0,0,41,4,0,0,0,0,0,0,0,2,1,1,Married,PROFESSIONAL,36,M,0,180,0.8,0,0.344,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,662,P3
10623,49,17,17,1,31,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,7,3,3,2,Married,SSC,37,M,33000,214,0.154,0.333,1.596,-99999,0,-99999,0,0,0,0,0,-99999,1,0,ConsumerLoan,others,654,P4
10624,76,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,1,3,25,15,8,5,Single,12TH,23,M,30000,66,0.667,0.2,0.97,-99999,0,-99999,0,0.333,0,0.333,0,1.768,0,1,ConsumerLoan,HL,654,P4
10625,209,19,19,1,28,28,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,29,1,1,1,Married,12TH,36,M,20000,70,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,AL,660,P3
10626,70,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,2,1,2,3,6,4,2,Married,UNDER GRADUATE,29,M,25000,32,1,0.667,0.752,-99999,0,0.961,1,0.5,1,0.5,1,4.106,0,0,CC,others,659,P3
10627,46,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,1,Married,UNDER GRADUATE,29,M,12000,161,1,1,1,-99999,0,-99999,0,0,0,0,0,0.208,0,0,ConsumerLoan,ConsumerLoan,681,P2
10628,78,31,13,3,24,7,0,0,0,0,0,0,0,64,0,1,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,19,4,4,4,Married,GRADUATE,32,M,25000,105,0.312,0,0.836,-99999,0,-99999,0,0,0,0,0,1.996,1,0,ConsumerLoan,others,648,P4
10629,59,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,4,235,10,0,0,Married,UNDER GRADUATE,55,M,57000,156,1,0,0.101,-99999,0,-99999,0,0,0,0,0,-99999,0,0,PL,others,686,P2
10630,-99999,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,23,5,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1501,0,0,0,Married,SSC,27,M,23000,131,0.333,1,1.003,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,702,P3
10631,1410,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,1,1,Married,OTHERS,40,M,15000,130,0.333,1,1,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,ConsumerLoan,697,P2
10632,76,33,26,4,214,183,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,92,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,12TH,55,M,15000,126,0.182,1,1.024,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,688,P2
10633,212,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,18,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,Married,12TH,36,M,35000,191,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,1,0,ConsumerLoan,ConsumerLoan,676,P2
10634,799,24,23,3,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,2,0,0,1255,0,0,0,Married,GRADUATE,49,M,35000,250,1,0,0.007,-99999,0,-99999,0,0,0,0,0,1.697,0,0,ConsumerLoan,PL,668,P3
10635,44,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,231,1,0,0,Married,SSC,34,M,20000,120,1,0,0.143,-99999,0,-99999,0,0,0,0,0,0.55,0,0,ConsumerLoan,ConsumerLoan,676,P2
10636,82,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,3,1,1,Single,SSC,22,M,13000,65,1,0,0.384,-99999,0,-99999,0,0,0,0,0,1.192,0,0,ConsumerLoan,ConsumerLoan,670,P2
10637,49,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3710,0,0,0,Married,GRADUATE,34,M,25000,89,0.5,1,0.961,-99999,0,-99999,0,0,0,0,0,0,0,0,ConsumerLoan,ConsumerLoan,762,P1
10638,-99999,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,30,5,11,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Single,POST-GRADUATE,21,M,30000,74,1,0,1.202,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,691,P2
10639,50,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,1,1,Single,12TH,22,M,18000,48,0.5,1,0.833,-99999,0,-99999,0,0,0,0,0,1.088,0,0,ConsumerLoan,ConsumerLoan,669,P2
10640,44,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,1,1,13,17,13,10,Single,12TH,27,M,23000,103,0.5,0.5,0,-99999,0,-99999,0,1,0,0.333,0,0,0,0,ConsumerLoan,ConsumerLoan,616,P4
10641,60,18,11,5,1,1,0,1,1,-99999,1,0,0,11,4,8,0,0,0,0,0,0,0,0,0,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,12TH,26,M,17500,83,1,0,0.669,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,670,P2
10642,236,10,10,1,25,25,0,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,12TH,33,M,13000,237,1,0,0.938,-99999,0,-99999,0,0,0,0,0,-99999,0,1,others,others,668,P3
10643,43,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,19,4,10,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,454,0,0,0,Married,POST-GRADUATE,51,M,25000,329,1,0,0.294,0.144,1,-99999,0,0,0,0,0,3.583,0,0,others,CC,689,P2
10644,34,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,3,3,46,3,3,1,Single,SSC,22,M,15000,38,0.4,1,1,-99999,0,-99999,1,1,0,0.75,0,7,0,0,PL,ConsumerLoan,666,P3
10645,91,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30,2,1,1,Married,12TH,32,M,20000,30,0.25,0,0.1,-99999,0,-99999,0,0,0,0,0,0.825,1,0,ConsumerLoan,others,674,P2
10646,469,35,20,6,68,68,0,0,0,-99999,-99999,2,1,0,0,0,0,0,0,0,0,0,0,0,0,59,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,12TH,36,M,22000,126,0.057,0,0,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,677,P2
10647,43,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,263,3,0,0,Single,12TH,25,M,16000,38,0.5,0,0.945,-99999,0,-99999,0,0,0,0,0,-99999,0,1,ConsumerLoan,ConsumerLoan,673,P2
10648,287,34,10,12,289,16,0,2,2,-99999,44,9,8,57,10,22,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,344,1,0,0,Married,OTHERS,33,M,15000,36,0.333,0,1.008,-99999,0,-99999,0,0,0,0,0,10.667,1,0,others,others,710,P1
10649,122,21,9,10,57,51,0,1,1,0,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0,0,0,0,0,464,0,0,0,Single,12TH,26,M,30000,29,0.5,0,0.694,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,665,P3
10650,-99999,16,5,9,60,30,1,7,6,30,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,512,0,0,0,Single,GRADUATE,29,M,33000,60,1,0,0.986,-99999,0,-99999,0,0,0,0,0,-99999,0,0,AL,others,678,P2
10651,795,19,19,1,8,8,0,0,0,-99999,0,0,0,19,3,7,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,25,1,1,1,Single,SSC,26,M,25000,186,0.5,0,1.756,-99999,0,-99999,0,0,0,0,0,2.6,0,0,ConsumerLoan,others,686,P2
10652,83,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,Married,12TH,32,M,35000,125,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,680,P2
10653,160,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,12,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,889,0,0,0,Married,GRADUATE,48,F,12000,101,0.5,0,1.069,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,708,P1
10654,42,27,2,6,49,49,1,5,4,9,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,471,0,0,0,Married,12TH,32,M,30000,65,0.2,0,0.457,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,673,P2
10655,68,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,0,0,15,2,5,6,5,2,2,Married,PROFESSIONAL,27,M,25000,62,0.25,0,0.866,0.884,1,0.865,1,0.4,0,0.133,0,33.922,0,0,PL,PL,682,P2
10656,69,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,SSC,26,M,12000,68,0.4,0.5,0.558,-99999,0,-99999,0,0,0,0,0,-99999,1,1,others,others,687,P2
10657,159,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,3,1,1,1,Married,GRADUATE,54,F,10000,147,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,ConsumerLoan,673,P2
10658,114,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,31,1,1,1,Married,GRADUATE,43,M,26500,76,0.5,0,0,-99999,1,-99999,0,0,0,0,0,0.623,0,0,ConsumerLoan,CC,698,P2
10659,61,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,4,4,47,6,6,3,Married,UNDER GRADUATE,50,M,28000,116,0.6,0.714,0.633,-99999,0,-99999,0,1,0,0.8,0,2.36,1,0,PL,ConsumerLoan,662,P3
10660,59,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,1,1,Single,UNDER GRADUATE,25,M,25274,58,1,0,0.248,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,677,P2
10661,38,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,1,3,0,0,0,30,13,4,3,Married,12TH,49,M,50000,128,0.688,0.273,0.361,0.559,1,-99999,0,0,0.333,0,0.333,8.616,0,0,ConsumerLoan,ConsumerLoan,695,P2
10662,10,5,4,2,56,25,2,2,0,56,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,7,6,7,1,9,8,6,Married,OTHERS,23,M,12000,41,0.25,0.667,0.513,-99999,0,-99999,1,0.857,0,0.857,0,-99999,0,1,ConsumerLoan,ConsumerLoan,634,P4
10663,-99999,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,20,4,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,Married,SSC,54,M,18000,103,0.5,0,1.026,-99999,0,-99999,0,0,0,0,0,-99999,1,0,ConsumerLoan,ConsumerLoan,685,P2
10664,46,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Single,12TH,24,M,20000,74,1,0,0.79,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,671,P2
10665,-99999,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,3,Married,OTHERS,33,F,18000,78,1,0,0.798,-99999,0,-99999,0,0,0,0,0,-99999,0,1,ConsumerLoan,others,680,P2
10666,2016,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,31,5,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,5,1,1,1,Married,UNDER GRADUATE,34,M,40000,53,0.5,0,0.541,-99999,0,0.541,1,0,0,0,0,5,0,0,others,PL,707,P1
10667,70,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,72,2,1,1,Married,12TH,41,M,60000,443,1,0,0.3,-99999,0,-99999,0,0,0,0,0,0.316,0,0,others,PL,679,P2
10668,56,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,12TH,32,F,14000,71,1,0,0.296,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,673,P2
10669,41,13,10,4,24,24,0,2,2,0,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,103,2,1,0,Married,SSC,29,M,17000,35,0.6,1,0.654,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,690,P2
10670,210,-99999,-99999,0,-99999,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,2,33,3,1,1,Single,GRADUATE,22,M,13200,32,0.5,0,0.667,-99999,0,-99999,0,0.5,0,0.5,0,0.454,0,0,PL,ConsumerLoan,673,P2
10671,57,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,6,3,1,1,Married,12TH,34,M,24000,105,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,PL,677,P2
10672,428,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1554,0,0,0,Married,12TH,44,M,30000,257,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,685,P2
10673,66,7,6,2,28,28,0,2,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,0,0,0,6,2,6,13,12,7,2,Married,SSC,33,F,25000,87,1,0.5,0.556,-99999,0,-99999,0,0.333,0,0.333,0,2.334,0,0,ConsumerLoan,PL,653,P4
10674,241,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,523,0,0,0,Married,POST-GRADUATE,37,M,22000,129,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,683,P2
10675,91,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,42,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,146,1,1,0,Single,GRADUATE,30,M,16000,82,0.25,1,1.063,-99999,0,-99999,0,1,0,1,0,1.256,1,0,PL,PL,703,P1
10676,75,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,119,2,1,0,Married,12TH,36,F,27000,70,0.4,0.25,1.011,-99999,0,-99999,0,0,0,0,0,0.463,1,0,ConsumerLoan,others,684,P2
10677,-99999,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,2,2,Married,SSC,34,M,15000,64,1,1,1,-99999,0,-99999,0,0,0,0,0,0.813,0,0,ConsumerLoan,ConsumerLoan,671,P2
10678,43,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,1,2,1,8,5,4,Married,GRADUATE,58,M,11500,188,0.7,0.714,0.779,-99999,0,1,1,0.5,0,0.5,0,12.615,0,0,ConsumerLoan,others,665,P3
10679,1752,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,2,2,2,11,10,10,Married,SSC,34,M,17000,152,0.5,0,0.5,-99999,0,-99999,0,1,0,1,0,-99999,0,0,ConsumerLoan,ConsumerLoan,627,P4
10680,189,26,10,4,29,25,0,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,1,0,0,364,1,0,0,Single,UNDER GRADUATE,27,M,28000,223,0.125,0,0.054,-99999,0,-99999,0,0,0,0,0,-99999,1,0,ConsumerLoan,others,684,P2
10681,49,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,11,4,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,Single,UNDER GRADUATE,29,F,22000,101,1,0,0.486,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,672,P2
10682,-99999,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,112,2,2,0,Married,12TH,29,M,20000,37,1,1,1.256,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,AL,684,P2
10683,159,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,41,2,8,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,UNDER GRADUATE,30,M,40000,88,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,691,P2
10684,45,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,3,1,0,0,79,3,2,1,Single,GRADUATE,27,M,21600,62,1,1,0.51,0.51,1,-99999,0,0,0.667,0,0.286,1.599,0,0,CC,CC,682,P2
10685,24,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,4,5,7,7,7,91,12,11,3,Married,GRADUATE,33,M,38000,59,1,1,0.377,0.185,1,-99999,0,1,0.8,1,0.8,1.309,0,0,PL,CC,667,P3
10686,43,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,139,4,4,0,Married,12TH,34,F,12000,24,1,1,0.776,1,1,-99999,0,0,1,0,1,2.479,0,0,CC,others,680,P2
10687,216,-99999,-99999,0,-99999,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,1,1,1,Single,GRADUATE,31,M,38000,130,1,0,0.98,-99999,0,-99999,0,0,0,0,0,-99999,0,1,ConsumerLoan,HL,665,P3
10688,35,4,2,2,30,7,2,2,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,715,0,0,0,Married,GRADUATE,34,M,27000,89,0.4,0,0.903,-99999,0,-99999,0,0,0,0,0,-99999,0,1,HL,others,722,P1
10689,496,35,1,9,66,6,2,2,0,35,35,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,0,2,0,0,2213,0,0,0,Single,UNDER GRADUATE,31,M,35000,66,0.5,0,0,0,1,-99999,1,0,0,0,0,1.331,0,0,PL,PL,699,P2
10690,854,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,1,1,1,Single,GRADUATE,23,M,18000,62,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,ConsumerLoan,670,P2
10691,460,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,54,12,26,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,SSC,43,M,15600,112,0.444,0,0.533,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,744,P1
10692,764,27,24,4,90,60,0,0,0,-99999,-99999,4,2,0,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,0,0,0,0,3,2,2,2,Single,UNDER GRADUATE,22,M,35000,89,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,AL,646,P4
10693,71,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,2,2,22,4,4,4,Married,12TH,27,M,23580,144,1,0,0.741,-99999,0,-99999,0,1,0,1,0,25.869,0,0,PL,others,643,P4
10694,54,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,14,5,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,434,0,0,0,Married,GRADUATE,25,M,24000,54,1,0,0.703,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,684,P2
10695,94,16,5,12,24,24,1,7,6,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,2,1,1,1,Single,POST-GRADUATE,28,M,20000,35,1,0,0.318,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,677,P2
10696,86,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1114,0,0,0,Single,GRADUATE,27,M,18000,64,0,0,0,-99999,1,-99999,0,0,0,0,0,-99999,0,0,others,others,694,P2
10697,73,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,39,7,20,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,143,2,1,0,Married,GRADUATE,27,M,19500,107,0.333,0.25,0.944,1,1,-99999,0,0,1,0,1,1.446,1,0,CC,others,707,P1
10698,3808,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,GRADUATE,33,M,40000,129,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,697,P2
10699,-99999,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,1,1,0,Married,12TH,32,M,16500,56,0.333,1,0.965,-99999,0,-99999,0,0,0,0,0,-99999,1,1,HL,HL,693,P2
10700,35,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,21,5,11,0,0,0,0,0,0,0,0,0,0,43,13,5,7,8,1,2,20,14,8,5,Single,OTHERS,26,M,45000,125,0.533,0,0.502,-99999,0,0.564,1,0.5,0.714,0.125,0.385,11.933,0,0,PL,ConsumerLoan,667,P3
